,timepoint,ROI,subject,BOLD signal
0,0.0,IPS,0,0.5134331027255622
1,0.0,IPS,1,-0.414368046075696
2,0.0,IPS,2,0.2146953267196351
3,0.0,IPS,3,0.8148087458868558
4,0.0,IPS,4,-0.8949922301721369
5,0.0,IPS,5,-0.0737093490130796
6,0.0,IPS,6,3.542734475413466
7,0.0,IPS,7,0.0801690757544154
8,0.0,IPS,8,1.5470826945325733
9,0.0,IPS,9,2.827153000390555
10,0.0,IPS,10,2.611358359173347
11,0.0,IPS,11,-0.3131321350194033
12,0.0,IPS,12,3.773420955684738
13,0.0,IPS,13,4.82991474032282
14,0.0,IPS,14,2.891339575837521
15,0.0,IPS,15,-0.736697602085396
16,0.0,IPS,16,3.316986139515283
17,0.0,IPS,17,3.77142553051872
18,0.0,IPS,18,1.308108715442583
19,0.0,IPS,19,-0.9051716377771052
20,0.0,AG,0,1.0483690653634063
21,0.0,AG,1,0.980156108994631
22,0.0,AG,2,2.817243817877357
23,0.0,AG,3,0.7371128874092425
24,0.0,AG,4,2.203094497215115
25,0.0,AG,5,0.4121313898814115
26,0.0,AG,6,1.8992587282397373
27,0.0,AG,7,0.905484796656398
28,0.0,AG,8,-0.3550295028293755
29,0.0,AG,9,-1.695758671341259
30,0.0,AG,10,-1.084440967679713
31,0.0,AG,11,0.935800471829306
32,0.0,AG,12,0.0856152082214608
33,0.0,AG,13,-1.0745526432251271
34,0.0,AG,14,1.4288169781130209
35,0.0,AG,15,0.5445830767520106
36,0.0,AG,16,2.72219977985527
37,0.0,AG,17,-0.4709778719852718
38,0.0,AG,18,0.915208992353353
39,0.0,AG,19,1.3916790162966497
40,0.0,V1,0,1.8202012195893096
41,0.0,V1,1,0.2571989958485923
42,0.0,V1,2,1.9460455848654217
43,0.0,V1,3,3.507984359261221
44,0.0,V1,4,2.4864416742084354
45,0.0,V1,5,-1.534044638177171
46,0.0,V1,6,0.8569754726729291
47,0.0,V1,7,-1.0486713046689329
48,0.0,V1,8,2.4847724625621384
49,0.0,V1,9,-0.6736054789265489
50,0.0,V1,10,-0.3408223994977652
51,0.0,V1,11,2.908160595017196
52,0.0,V1,12,2.992470041542188
53,0.0,V1,13,-0.324952711003208
54,0.0,V1,14,2.36043984846849
55,0.0,V1,15,0.6992003934300172
56,0.0,V1,16,1.4580053879916497
57,0.0,V1,17,1.993810664572654
58,0.0,V1,18,1.2013641583721435
59,0.0,V1,19,0.5823770652720677
60,0.101010101010101,IPS,0,0.4673192417779404
61,0.101010101010101,IPS,1,-0.4604819070233176
62,0.101010101010101,IPS,2,0.1685814657720133
63,0.101010101010101,IPS,3,0.768694884939234
64,0.101010101010101,IPS,4,-0.9411060911197586
65,0.101010101010101,IPS,5,-0.1198232099607013
66,0.101010101010101,IPS,6,3.496620614465844
67,0.101010101010101,IPS,7,0.0340552148067938
68,0.101010101010101,IPS,8,1.5009688335849514
69,0.101010101010101,IPS,9,2.781039139442933
70,0.101010101010101,IPS,10,2.565244498225725
71,0.101010101010101,IPS,11,-0.3592459959670249
72,0.101010101010101,IPS,12,3.727307094737117
73,0.101010101010101,IPS,13,4.783800879375198
74,0.101010101010101,IPS,14,2.8452257148898994
75,0.101010101010101,IPS,15,-0.7828114630330176
76,0.101010101010101,IPS,16,3.270872278567661
77,0.101010101010101,IPS,17,3.725311669571098
78,0.101010101010101,IPS,18,1.261994854494961
79,0.101010101010101,IPS,19,-0.9512854987247268
80,0.101010101010101,AG,0,1.0484082738293343
81,0.101010101010101,AG,1,0.9801953174605592
82,0.101010101010101,AG,2,2.817283026343285
83,0.101010101010101,AG,3,0.7371520958751709
84,0.101010101010101,AG,4,2.203133705681044
85,0.101010101010101,AG,5,0.4121705983473398
86,0.101010101010101,AG,6,1.899297936705666
87,0.101010101010101,AG,7,0.9055240051223266
88,0.101010101010101,AG,8,-0.3549902943634472
89,0.101010101010101,AG,9,-1.6957194628753305
90,0.101010101010101,AG,10,-1.084401759213785
91,0.101010101010101,AG,11,0.9358396802952346
92,0.101010101010101,AG,12,0.0856544166873891
93,0.101010101010101,AG,13,-1.0745134347591987
94,0.101010101010101,AG,14,1.4288561865789486
95,0.101010101010101,AG,15,0.5446222852179389
96,0.101010101010101,AG,16,2.722238988321198
97,0.101010101010101,AG,17,-0.4709386635193435
98,0.101010101010101,AG,18,0.9152482008192814
99,0.101010101010101,AG,19,1.391718224762578
100,0.101010101010101,V1,0,1.8202012062544572
101,0.101010101010101,V1,1,0.2571989825137402
102,0.101010101010101,V1,2,1.9460455715305691
103,0.101010101010101,V1,3,3.5079843459263693
104,0.101010101010101,V1,4,2.4864416608735835
105,0.101010101010101,V1,5,-1.5340446515120232
106,0.101010101010101,V1,6,0.8569754593380768
107,0.101010101010101,V1,7,-1.0486713180037848
108,0.101010101010101,V1,8,2.4847724492272856
109,0.101010101010101,V1,9,-0.673605492261401
110,0.101010101010101,V1,10,-0.3408224128326173
111,0.101010101010101,V1,11,2.908160581682344
112,0.101010101010101,V1,12,2.992470028207336
113,0.101010101010101,V1,13,-0.3249527243380601
114,0.101010101010101,V1,14,2.360439835133638
115,0.101010101010101,V1,15,0.6992003800951649
116,0.101010101010101,V1,16,1.4580053746567971
117,0.101010101010101,V1,17,1.993810651237802
118,0.101010101010101,V1,18,1.2013641450372914
119,0.101010101010101,V1,19,0.5823770519372153
120,0.202020202020202,IPS,0,0.3466994181748567
121,0.202020202020202,IPS,1,-0.5811017306264012
122,0.202020202020202,IPS,2,0.0479616421689296
123,0.202020202020202,IPS,3,0.6480750613361503
124,0.202020202020202,IPS,4,-1.0617259147228422
125,0.202020202020202,IPS,5,-0.240443033563785
126,0.202020202020202,IPS,6,3.376000790862761
127,0.202020202020202,IPS,7,-0.0865646087962898
128,0.202020202020202,IPS,8,1.3803490099818676
129,0.202020202020202,IPS,9,2.6604193158398504
130,0.202020202020202,IPS,10,2.444624674622641
131,0.202020202020202,IPS,11,-0.4798658195701086
132,0.202020202020202,IPS,12,3.606687271134033
133,0.202020202020202,IPS,13,4.663181055772113
134,0.202020202020202,IPS,14,2.724605891286816
135,0.202020202020202,IPS,15,-0.9034312866361014
136,0.202020202020202,IPS,16,3.150252454964577
137,0.202020202020202,IPS,17,3.604691845968015
138,0.202020202020202,IPS,18,1.1413750308918775
139,0.202020202020202,IPS,19,-1.0719053223278106
140,0.202020202020202,AG,0,1.0489361288758057
141,0.202020202020202,AG,1,0.98072317250703
142,0.202020202020202,AG,2,2.8178108813897564
143,0.202020202020202,AG,3,0.7376799509216416
144,0.202020202020202,AG,4,2.203661560727514
145,0.202020202020202,AG,5,0.4126984533938106
146,0.202020202020202,AG,6,1.8998257917521368
147,0.202020202020202,AG,7,0.9060518601687972
148,0.202020202020202,AG,8,-0.3544624393169764
149,0.202020202020202,AG,9,-1.6951916078288598
150,0.202020202020202,AG,10,-1.083873904167314
151,0.202020202020202,AG,11,0.9363675353417054
152,0.202020202020202,AG,12,0.0861822717338599
153,0.202020202020202,AG,13,-1.073985579712728
154,0.202020202020202,AG,14,1.429384041625419
155,0.202020202020202,AG,15,0.5451501402644097
156,0.202020202020202,AG,16,2.722766843367669
157,0.202020202020202,AG,17,-0.4704108084728726
158,0.202020202020202,AG,18,0.9157760558657522
159,0.202020202020202,AG,19,1.3922460798090492
160,0.202020202020202,V1,0,1.8202004481530447
161,0.202020202020202,V1,1,0.2571982244123275
162,0.202020202020202,V1,2,1.946044813429157
163,0.202020202020202,V1,3,3.507983587824957
164,0.202020202020202,V1,4,2.486440902772171
165,0.202020202020202,V1,5,-1.534045409613436
166,0.202020202020202,V1,6,0.8569747012366642
167,0.202020202020202,V1,7,-1.0486720761051975
168,0.202020202020202,V1,8,2.4847716911258733
169,0.202020202020202,V1,9,-0.6736062503628137
170,0.202020202020202,V1,10,-0.3408231709340301
171,0.202020202020202,V1,11,2.9081598235809314
172,0.202020202020202,V1,12,2.9924692701059232
173,0.202020202020202,V1,13,-0.3249534824394728
174,0.202020202020202,V1,14,2.360439077032225
175,0.202020202020202,V1,15,0.6991996219937523
176,0.202020202020202,V1,16,1.4580046165553844
